Correct Response,Height (deg),Reaction Time (ms),Target,Face Start Time (CPU Uptime)
420.69,8,10,1,607015
420.69,8,10,2,619343
420.69,8,10,3,632671
1,2,620.7187000000349,3,707906
1,2.83,624.8313999999855,1,712343
1,2.83,450.91819999997006,1,717390
0,11.31,597.4120999999659,2,721968
1,28,1094.6269999999831,3,726875
1,5.66,527.9927999999163,3,731515
1,16,461.52439999995386,3,735859
1,4,560.9922000000242,1,740343
0,2,660.007600000009,1,744828
1,2,701.5527999999822,3,748859
1,2,710.8522999999796,3,753375
1,1.41,622.7884999999933,2,757703
1,21.17,543.769400000011,3,761734
1,1,789.3469999999443,1,766015
1,21.17,628.2020000000248,2,770531
1,1,661.198100000016,3,775468
1,1,962.484000000055,3,779734
1,11.31,523.5012000000925,2,784187
1,11.31,592.9813000000568,3,788187
1,28,758.8658999999698,1,792546
1,16,637.2491,3,796765
1,1,864.4560000000556,1,801875
1,4,567.5090999999757,2,806609
1,4,599.1757000000835,1,811046
1,1,614.2255000000123,2,816015
1,28,784.1099000000131,1,820906
1,2.83,660.2744000000857,3,826062
1,2.83,538.0438999999715,2,831046
1,11.31,601.1245000000063,2,835203
1,1.41,662.2526999999909,1,839531
1,21.17,503.78520000007575,2,843703
1,16,560.6243000000095,1,848140
1,28,615.3927000000667,3,852531
1,1.41,559.4867000000168,1,857468
1,8,486.39060000008703,2,861875
1,11.31,473.96440000003713,2,866265
1,2,601.5261000000382,1,870671
1,2.83,615.0057999999863,2,875296
1,4,493.4563000000853,2,880156
1,5.66,526.6713000000127,3,884468
1,2,624.427000000006,1,889125
1,1.41,760.564799999921,3,893375
420.69,8,10,4,966109
420.69,8,10,5,978343
420.69,8,10,6,990906
1,1.41,842.5251999998782,5,1065859
1,28,665.1578000000118,6,1070890
1,1.41,738.7674999999181,4,1075687
1,16,518.5080000000344,4,1079921
1,16,501.6638999999632,4,1084937
1,28,724.3855999999287,6,1088953
1,28,789.5012000000552,4,1093718
1,1.41,885.597899999917,5,1098421
1,1,977.7800000000898,5,1102765
1,2.83,866.4456000000573,4,1108062
1,2.83,774.0050999999912,5,1112546
1,1,831.5399000002035,5,1117046
1,1.41,652.5204999999605,5,1121406
1,2,515.8851999998806,4,1125578
1,8,630.4464999999855,6,1129750
1,16,583.2114999999849,4,1134890
1,16,685.2614000000958,6,1139828
1,21.17,859.7000000001262,5,1144625
1,5.66,636.0383000000329,5,1149968
1,21.17,1053.889899999982,6,1154171
0,4,871.2451000000474,6,1158734
1,8,532.8128000000252,4,1163265
1,4,540.4388000000981,4,1168062
1,21.17,754.743999999997,6,1172875
1,4,836.5977000000075,5,1177734
1,5.66,637.8052000001535,5,1182093
1,1,1145.4077000000016,5,1186265
1,2,646.8142000000316,5,1191093
1,5.66,733.8954999999405,6,1195968
1,21.17,567.4381000000412,4,1200734
1,16,744.2267999999021,5,1204718
1,8,619.4924000000501,5,1209187
1,2.83,609.6676000001171,4,1213625
1,16,941.6972000000587,6,1217656
1,11.31,640.5281000001341,6,1222718
1,1.41,836.4141999999592,5,1226968
1,8,578.2058999999808,6,1231828
1,16,511.5391999999392,6,1236515
0,2,535.899900000155,4,1240453
1,5.66,513.4271999999473,4,1244359
1,11.31,809.8457000000199,6,1248296
1,2,936.576600000004,5,1253437
420.69,8,10,7,1329843
420.69,8,10,8,1342578
420.69,8,10,9,1354812
1,28,686.2752999999575,7,1427875
1,21.17,600.8132000000987,8,1432625
1,4,573.698099999925,7,1437359
1,2.83,554.7668000000758,9,1442046
1,11.31,655.8610999999619,8,1446031
1,5.66,686.6381999999849,8,1451015
1,5.66,527.1240999999609,9,1455234
1,11.31,524.7478000000374,8,1459781
1,2,542.4058000000205,7,1463828
1,4,569.1043000000864,8,1468453
1,1.41,814.4146000001147,8,1472703
1,21.17,639.2904000000872,7,1477843
1,11.31,703.9361999999674,9,1482718
0,16,-109.0,8,1486937
1,4,592.9377000001441,9,1492406
1,2.83,657.55390000019,8,1497328
1,2.83,515.9991999998201,7,1502421
1,1.41,699.3275000001322,8,1507156
1,4,582.2243999997827,8,1511390
1,11.31,529.4027000001424,8,1515921
1,28,540.5814999998402,8,1520781
1,5.66,651.9016999999767,8,1525500
1,1,914.6354999999548,7,1530500
1,21.17,669.3068000001094,8,1535875
1,2,647.9544000000406,9,1540421
1,4,452.70099999985723,7,1545437
1,16,695.005300000199,9,1549781
1,8,645.881899999873,9,1554890
1,2,546.4232999999385,7,1559296
0,8,-109.0,8,1563328
1,8,520.0495000000647,9,1568890
1,8,601.1360000001478,9,1572937
1,21.17,715.1800999999214,7,1577265
1,8,582.5296999998191,9,1581703
1,8,568.4772999999641,9,1586015
1,28,562.8975999999657,8,1590906
1,1,726.7933999998295,8,1595484
1,11.31,486.712100000128,8,1599953
1,8,600.7612000000026,9,1604171
1,28,819.6798999999064,9,1608828
1,5.66,505.4236999998611,7,1613656
1,1,537.0010999999213,8,1618500
