Correct Response,Height (deg),Reaction Time (ms),Target,Face Start Time (CPU Uptime),UTC Time
420.69,8,10,1,425203375,1667860772.7712886
420.69,8,10,2,425216390,1667860785.7819798
420.69,8,10,3,425229046,1667860798.4358757
1,8,1096.2831000182778,3,425307093,1667860876.4867601
1,1.41,660.8570000356995,1,425311750,1667860881.1419916
1,28,511.4007000196725,1,425316046,1667860885.4427562
1,2.83,933.3499000025913,3,425320562,1667860889.956598
1,28,661.0391999678686,2,425325531,1667860894.9242234
1,11.31,752.5244000102393,2,425329718,1667860899.1222143
1,2.83,543.6153000304475,1,425333921,1667860903.3145914
1,2.83,489.6409999895841,1,425338390,1667860907.7848325
1,2,551.6111999717541,1,425343250,1667860912.6428611
1,4,533.410899978131,2,425347625,1667860917.0215955
0,1,611.2666000230238,2,425352390,1667860921.791736
1,5.66,839.8760000094771,1,425356906,1667860926.3067973
1,4,607.506999975536,1,425361187,1667860930.5792322
1,2,511.3743999940343,1,425365421,1667860934.8211899
1,4,525.2406999901868,1,425370015,1667860939.4134285
1,2.83,437.94229998858646,1,425374687,1667860944.0837302
1,21.17,1069.9394000079483,3,425379125,1667860948.515326
1,1.41,883.1109999995679,3,425383593,1667860952.9916313
1,21.17,593.1110000205226,1,425388921,1667860958.320936
1,11.31,472.05380000779405,1,425393250,1667860962.650645
1,2,627.9271999923512,1,425397687,1667860967.0783384
1,1.41,868.8771999990568,3,425402062,1667860971.4536333
1,21.17,554.5811000014655,2,425407375,1667860976.7681515
1,5.66,644.27849999303,1,425412375,1667860981.7711465
1,2.83,455.9714999599382,1,425416906,1667860986.2974238
1,11.31,639.0243000318296,3,425421328,1667860990.7312539
1,1,697.4034999697469,1,425425640,1667860995.0338192
1,2,848.3851000168361,3,425429859,1667860999.2584786
1,21.17,754.6311999871396,3,425435046,1667861004.4478445
1,4,648.0849000476301,2,425439250,1667861008.642911
1,8,612.3239000411704,2,425443343,1667861012.734955
1,28,570.7267000074498,1,425447703,1667861017.0953407
1,16,501.62370002036914,1,425451828,1667861021.2203639
1,28,525.0393999707885,1,425456750,1667861026.1558144
