Correct Response,Height (deg),Reaction Time (ms),Target,Face Start Time (CPU Uptime),UTC Time
420.69,8,20,1,2061960671,1667597438.4026117
420.69,8,20,2,2061985265,1667597462.9926147
420.69,8,20,3,2062008812,1667597486.5436087
0,5.66,532.757900128141,3,2062057718,1667597535.4434962
1,1,892.2998001184314,1,2062061531,1667597539.2614992
420.69,8,20,4,2062139312,1667597617.0474515
420.69,8,20,5,2062162765,1667597640.494935
420.69,8,20,6,2062186140,1667597663.876558
1,16,818.7689000591636,6,2062235437,1667597713.165596
420.69,8,20,7,2062323593,1667597801.330538
420.69,8,20,8,2062346218,1667597823.9433432
420.69,8,20,9,2062370125,1667597847.858281
1,5.66,743.7615999337286,9,2062417781,1667597895.5176663
