Correct Response,Height (deg),Reaction Time (ms),Target,Face Start Time (CPU Uptime)
420.69,8,10,1,2682406
420.69,8,10,2,2699062
420.69,8,10,3,2711734
1,2,460.74080000009053,2,2786765
1,8,725.8285999995824,3,2791718
1,2,731.4169999998885,1,2796281
1,1,1143.546500000335,3,2800625
1,1,554.5296000004018,3,2805750
1,21.17,853.5879000000168,3,2809921
1,11.31,434.1472999998732,2,2814203
1,16,506.8172000000377,1,2818468
0,1.41,694.4662000000026,1,2823421
1,1.41,692.7613000001802,3,2828359
1,2.83,512.9156999995903,2,2832875
1,8,491.5924999999479,2,2837406
1,5.66,644.9628999998058,3,2841515
1,4,732.4668999998867,1,2846578
1,5.66,463.5158999998712,2,2850750
1,11.31,577.9965999999295,3,2855531
1,21.17,719.6646999999903,1,2860250
1,2.83,595.7460000003412,2,2864406
1,21.17,658.1073999999862,3,2869234
1,21.17,610.6586000000025,3,2874312
1,2,545.3877999997676,3,2878546
1,5.66,492.5612000001056,1,2882921
1,5.66,498.2703999998339,1,2887531
1,5.66,461.12940000004164,2,2891953
1,2.83,694.7500000000364,3,2896453
1,4,675.2534000001251,1,2901078
1,1,626.1951999999073,3,2905390
1,28,557.0210999998526,2,2909437
1,11.31,544.6086999999497,1,2913421
1,11.31,669.3871000001454,3,2917812
1,21.17,700.6900999998979,1,2922656
1,2.83,699.3843999997953,3,2927796
1,2,650.4472000000678,3,2932515
1,8,439.3484999999746,2,2937562
1,1,689.7849000001006,3,2942328
1,2,608.020600000069,2,2946453
1,5.66,471.74729999998453,3,2951203
1,16,509.1163999999626,3,2955109
1,8,583.7673000000141,1,2959234
1,21.17,607.0385000001952,3,2964250
1,8,439.3546000000388,2,2968343
420.69,8,10,4,3040531
420.69,8,10,5,3053062
420.69,8,10,6,3065703
1,21.17,562.6351000000031,4,3138390
1,1.41,708.6635000004353,5,3142859
1,16,618.7728999997635,4,3147296
1,8,542.7513999997391,6,3152343
1,16,735.6862000000692,5,3156625
1,1,1096.1392999997006,6,3161281
1,1,734.9729000001535,4,3166468
1,28,870.1705000002366,6,3170703
1,1,923.4297000001934,5,3175203
1,2.83,655.2065000000002,4,3179937
1,2.83,495.6510999999555,6,3184734
1,8,700.5401000000493,4,3189265
1,2,528.2574999995777,4,3194000
1,2,650.7223000002487,4,3198062
1,11.31,558.7754000002096,5,3202437
1,28,540.0301999997428,4,3207234
1,1.41,550.3932000000677,6,3212093
1,8,409.23149999972884,6,3216906
1,28,418.9886999996961,6,3221437
1,2.83,707.8336000003364,5,3225890
1,28,524.6762000000817,6,3230640
1,2,609.6735999998746,4,3234984
1,28,708.5744999998642,5,3239625
1,28,494.1496000000516,6,3244765
0,21.17,560.7349000000941,5,3249296
1,4,586.5563000001348,5,3253156
1,1.41,625.6050000001014,6,3257281
1,4,1049.4138000002895,5,3261437
1,2.83,541.904200000241,5,3266359
1,5.66,359.9935000001242,4,3271093
1,1.41,671.2302999998574,4,3275093
1,4,453.72119999994175,4,3280093
1,1,427.9975999997223,4,3284484
1,1.41,687.3462000002437,6,3289343
1,21.17,449.1379000000197,6,3293562
1,4,576.644499999853,5,3297796
1,11.31,451.69609999985914,6,3302406
1,5.66,732.4955999996891,5,3306406
1,16,518.495799999906,5,3310656
1,21.17,501.3674000000865,4,3315359
1,4,612.0236999999324,6,3319671
420.69,8,10,7,3391781
420.69,8,10,8,3404484
420.69,8,10,9,3417296
1,28,454.9783999999963,8,3487968
1,28,426.9961999997722,8,3492859
1,28,594.3464000001004,9,3497218
1,5.66,504.0656000000272,8,3502062
1,21.17,590.293299999681,7,3506593
1,8,486.2704999999696,8,3511031
1,16,408.7929999999833,8,3515562
1,11.31,380.087599999948,8,3520000
0,16,341.89039999993474,7,3524125
1,1.41,864.0924999998933,8,3527781
1,4,710.7148999997808,7,3532390
0,5.66,571.9401999998954,7,3537546
1,21.17,664.3641999998326,9,3541718
1,1,1055.9901000000682,7,3546828
1,2.83,508.31620000000476,8,3551671
1,4,457.78210000018225,9,3555625
0,2,750.8659999997835,7,3560015
1,2,610.1146000000117,9,3565109
1,5.66,379.20599999999104,7,3569765
1,11.31,498.5553000000582,8,3574234
1,2.83,581.3575000001183,9,3578640
1,11.31,426.7432999999219,9,3583109
1,1.41,708.8317000001698,8,3587515
1,16,927.5692000000308,7,3592406
1,5.66,638.683600000073,9,3596906
1,2.83,529.0142000002706,8,3601125
1,1.41,372.4769999998134,8,3605937
1,16,570.5660000002499,9,3610703
1,16,503.2650000002068,8,3614843
1,11.31,503.60530000026847,9,3619843
1,8,456.6918999998197,7,3624546
1,8,542.7951000000721,9,3628890
1,4,612.4823999997861,9,3633312
1,11.31,583.6396999997451,7,3637500
1,1,643.1177999997235,8,3641562
1,1,900.7943000000669,7,3645796
1,1.41,659.9392000002044,7,3650375
1,28,442.42060000025594,8,3655437
0,2,551.6615000000602,7,3659765
1,16,622.9690999997874,9,3663781
1,2,477.78280000003724,8,3668921
1,1.41,1087.609499999795,7,3673234
1,4,668.9193999999734,7,3678609
1,2,521.8016000002681,8,3683093
