Correct Response,Height (deg),Reaction Time (ms)
1,28,782.9996001
1,5.66,1067.6187
1,4,708.3071
1,4,660.1582001
1,1.41,832.9706999
1,11.31,574.1482
1,5.66,587.2182
1,4,651.2539999
1,21.17,755.1797
1,1,792.8082999
1,28,836.8392
