Correct Response,Height (deg),Reaction Time (ms)
1,2.83,861.8503
1,21.17,575.0339999
1,16,611.9525
1,5.66,663.1592
1,1.41,556.0597
1,16,888.2636001
1,1.41,690.9054
1,28,694.3551001
1,8,521.9779
1,1,1022.588
1,1.41,597.4718
1,11.31,487.9207
1,28,633.4933
1,16,350.5647
1,1.41,612.9959
