Correct Response,Height (deg),Reaction Time (ms),Target,CPU Uptime,UTC time
420.69,-1,10000,-1,1287796,1669670548.113528
420.69,8,10000,1,1314078,1669670574.40751
420.69,8,10000,2,1347640,1669670607.9570732
420.69,8,10000,3,1364500,1669670624.82951
1,1,741.2009999998586,2,1430500,1669670690.8202085
1,1.41,781.7769999999596,2,1435093,1669670695.4134715
1,21.17,574.4543999999619,1,1439578,1669670699.8937452
1,4,649.887600000096,1,1443734,1669670704.0536652
0,1.41,553.784099999842,3,1448093,1669670708.4166853
1,28,836.3178000000003,3,1452125,1669670712.4445107
1,11.31,697.2515999998845,2,1457078,1669670717.40117
0,5.66,562.281499999966,3,1461906,1669670722.2267146
1,16,581.3885999998943,3,1466281,1669670726.6048665
0,1.41,804.9432000000647,3,1470281,1669670730.598079
1,11.31,716.6322999999406,2,1475406,1669670735.7259562
1,1.41,681.1691000000733,2,1479828,1669670740.1532753
1,16,623.9209999999216,2,1484828,1669670745.154229
1,16,553.7482000000123,2,1489859,1669670750.184162
1,8,652.5356000000043,3,1494640,1669670754.9552548
1,1.41,545.8354000000268,3,1499312,1669670759.6292818
0,16,721.3786000000196,1,1503718,1669670764.044596
1,5.66,854.2419999999252,3,1508515,1669670768.8410513
0,21.17,620.8839999999723,1,1513843,1669670774.168801
1,1.41,756.5277999999976,2,1518390,1669670778.7078497
1,2.83,544.4029000000623,2,1523015,1669670783.3345284
0,1.41,582.7394999999283,3,1527421,1669670787.7368443
1,2,655.8012000000813,2,1531296,1669670791.6239755
1,16,592.792999999841,3,1536421,1669670796.748849
1,8,1068.8751999999054,3,1541218,1669670801.5369294
1,16,727.6219000000706,1,1546437,1669670806.7619898
0,1.41,633.6225000000409,1,1551000,1669670811.3202171
1,2,846.6530999999518,1,1555921,1669670816.2432249
1,21.17,914.5987999998338,1,1560781,1669670821.1022668
1,5.66,643.5653999999827,1,1566031,1669670826.35041
1,8,602.244200000126,1,1570796,1669670831.1114974
1,1.41,577.3067999998998,3,1575015,1669670835.3444145
1,4,528.3581999999965,1,1579234,1669670839.553349
1,2,698.2997999998984,3,1583984,1669670844.3034556
1,2.83,599.3247000001643,2,1588500,1669670848.8237007
1,11.31,513.6325000001248,2,1592703,1669670853.0196526
0,1,694.467000000071,1,1597421,1669670857.739782
1,28,548.0992999999157,1,1601437,1669670861.7638278
1,28,571.6127999999512,1,1605921,1669670866.2441046
0,2,652.3357999999857,2,1610921,1669670871.2370641
1,1,790.1391000000726,3,1615750,1669670876.0751128
1,5.66,711.5538999999385,1,1620078,1669670880.401978
0,1,698.1871999999325,1,1625031,1669670885.3510396
1,8,702.1691999998834,2,1629968,1669670890.2835345
1,11.31,698.3998999999526,3,1634484,1669670894.8062775
1,8,803.6365999999302,3,1639328,1669670899.6473296
0,2.83,947.9839999999454,3,1643703,1669670904.0217392
1,4,614.7512000000402,2,1648468,1669670908.7945216
1,8,430.3690000001947,2,1653015,1669670913.3391182
1,1,680.9231999998642,2,1657265,1669670917.5920472
1,21.17,578.4707000000649,3,1662375,1669670922.7021
420.69,-1,10000,-1,1743234,1669671003.5548847
420.69,8,5000.0,4,1762234,1669671022.5593085
