Correct Response,Height (deg),Reaction Time (ms),Target,CPU Uptime,UTC time
420.69,8,5000.0,5,1770156,1669671030.485517
420.69,8,5000.0,6,1780781,1669671041.1064754
1,1,327.67489999995945,5,1841187,1669671101.5039546
1,16,584.7765999999806,4,1845406,1669671105.7264068
0,2.83,671.5125999999541,4,1849734,1669671110.0613017
1,28,654.3377000000814,5,1854546,1669671114.8725767
0,1.41,739.1134999998426,6,1859343,1669671119.6606858
1,21.17,568.2882999999888,4,1864125,1669671124.4466379
0,2,795.4852000000697,4,1868531,1669671128.8601503
1,11.31,501.0388000000998,5,1872968,1669671133.2908728
1,1.41,425.157500000108,5,1877390,1669671137.7188551
1,5.66,712.1420999999768,6,1882046,1669671142.3752599
1,4,611.8343999999465,4,1887000,1669671147.3240755
1,21.17,447.09919999995094,5,1891031,1669671151.3592577
1,21.17,810.4112000001292,4,1895015,1669671155.3322961
1,2,660.2219000001637,6,1899671,1669671159.9933038
1,2,753.1293999998466,6,1903937,1669671164.2622006
1,2.83,792.8211999999744,6,1908812,1669671169.1352305
0,11.31,607.1956999999597,4,1913437,1669671173.7524204
1,16,572.9068000000948,4,1918218,1669671178.5458903
1,11.31,549.0090999999607,5,1922531,1669671182.8497045
0,5.66,621.6560999999215,4,1926718,1669671187.041999
1,2,526.4125999999974,4,1931328,1669671191.6494858
1,11.31,548.9828000000157,4,1935484,1669671195.809791
0,1.41,573.624899999953,4,1939765,1669671200.0895317
1,2,656.7791000000338,6,1944125,1669671204.445984
1,5.66,539.5526000000186,5,1948625,1669671208.9517877
1,28,654.6412000000541,4,1953203,1669671213.5195036
1,8,565.4359000000509,6,1958171,1669671218.4981508
1,1.41,678.1636999999532,5,1962968,1669671223.296705
1,21.17,895.1876000001389,5,1967671,1669671227.9993436
1,5.66,456.9796000001074,5,1972375,1669671232.7014763
0,4,528.7163000000814,4,1976781,1669671237.102291
1,4,604.3505000000491,5,1980906,1669671241.2267804
1,1,490.5764000000485,5,1985328,1669671245.652585
0,1,854.0521999998814,6,1990046,1669671250.3687222
1,2.83,652.9691999999554,4,1994875,1669671255.201765
1,5.66,588.5045000000387,5,1999328,1669671259.648055
0,21.17,565.3184000000633,6,2004484,1669671264.8039103
1,4,622.9661000000247,4,2008593,1669671268.9089072
1,11.31,538.5113000000215,6,2013375,1669671273.704984
0,21.17,-102.56,6,2017984,1669671278.3101804
1,21.17,584.3961000000886,6,2023500,1669671283.8163385
1,1,883.9906000001006,4,2027562,1669671287.8803759
0,28,700.9736000000371,6,2032812,1669671293.129174
1,28,767.5104000000315,6,2037890,1669671298.2073069
1,2.83,570.8055999998974,5,2043125,1669671303.4416223
1,4,481.34909999980067,5,2047296,1669671307.6215715
1,2.83,741.106299999768,4,2051812,1669671312.1375709
1,1,628.7607000001967,6,2056578,1669671316.897682
0,1,512.7534999999566,6,2061437,1669671321.7657173
0,28,615.3720000000189,5,2065546,1669671325.8617203
1,28,872.3383999998018,6,2069640,1669671329.956726
1,2.83,924.1108999997718,4,2074234,1669671334.5549266
1,1,938.4069000000577,6,2079187,1669671339.5080657
