Correct Response,Height (deg),Reaction Time (ms),Target,Face Start Time (CPU Uptime),UTC Time
420.69,8,20,1,157909796,1667593473.6481085
420.69,8,20,2,157932484,1667593496.3392289
420.69,8,20,3,157955421,1667593519.2827573
1,5.66,596.8275000017602,3,158005437,1667593569.2959657
420.69,8,20,4,158077875,1667593641.727047
420.69,8,20,5,158100312,1667593664.167383
420.69,8,20,6,158122703,1667593686.561389
0,16,700.1431000211742,6,158171578,1667593735.4313192
0,16,720.9139000009745,6,158176640,1667593740.4952695
0,1.41,735.8560000106227,6,158180687,1667593744.5528038
0,16,211.17709998763166,5,158185359,1667593749.2206297
1,1.41,379.7237999937497,5,158189250,1667593753.1087327
420.69,8,20,7,158267640,1667593831.4917898
420.69,8,20,8,158289937,1667593853.7954528
420.69,8,20,9,158312312,1667593876.1714857
0,16,621.198199977167,8,158360078,1667593923.9330862
1,16,753.1260999934748,9,158364687,1667593928.5417461
