Correct Response,Height (deg),Reaction Time (ms),Target,Face Start Time (CPU Uptime)
420.69,8,10,1,607015
420.69,8,10,2,619343
420.69,8,10,3,632671
1,2,620.7187,1,707906
1,2.83,624.8314,1,712343
1,2.83,450.9182,1,717390
0,11.31,597.4121,1,721968
1,28,1094.627,1,726875
1,5.66,527.9928,1,731515
1,16,461.5244,1,735859
1,4,560.9922,1,740343
0,2,660.0076,1,744828
1,2,701.5528,1,748859
1,2,710.8523,2,753375
1,1.41,622.7885,2,757703
1,21.17,543.7694,2,761734
1,1,789.347,2,766015
1,21.17,628.202,2,770531
1,1,661.1981,2,775468
1,1,962.484,2,779734
1,11.31,523.5012,2,784187
1,11.31,592.9813,2,788187
1,28,758.8659,2,792546
1,16,637.2491,2,796765
1,1,864.456,2,801875
1,4,567.5091,2,806609
1,4,599.1757,2,811046
1,1,614.2255,2,816015
1,28,784.1099,3,820906
1,2.83,660.2744,3,826062
1,2.83,538.0439,3,831046
1,11.31,601.1245,3,835203
1,1.41,662.2527,3,839531
1,21.17,503.7852,3,843703
1,16,560.6243,3,848140
1,28,615.3927,3,852531
1,1.41,559.4867,3,857468
1,8,486.3906,3,861875
1,11.31,473.9644,3,866265
1,2,601.5261,3,870671
1,2.83,615.0058,3,875296
1,4,493.4563,3,880156
1,5.66,526.6713,3,884468
1,2,624.427,3,889125
1,1.41,760.5648,3,893375
420.69,8,10,4,966109
420.69,8,10,5,978343
420.69,8,10,6,990906
1,1.41,842.5252,4,1065859
1,28,665.1578,4,1070890
1,1.41,738.7675,4,1075687
1,16,518.508,4,1079921
1,16,501.6639,4,1084937
1,28,724.3856,4,1088953
1,28,789.5012,4,1093718
1,1.41,885.5979,4,1098421
1,1,977.78,4,1102765
1,2.83,866.4456,5,1108062
1,2.83,774.0051,5,1112546
1,1,831.5399,5,1117046
1,1.41,652.5205,5,1121406
1,2,515.8852,5,1125578
1,8,630.4465,5,1129750
1,16,583.2115,5,1134890
1,16,685.2614,5,1139828
1,21.17,859.7,5,1144625
1,5.66,636.0383,5,1149968
1,21.17,1053.8899,5,1154171
0,4,871.2451,5,1158734
1,8,532.8128,5,1163265
1,4,540.4388,5,1168062
1,21.17,754.744,5,1172875
1,4,836.5977,5,1177734
1,5.66,637.8052,5,1182093
1,1,1145.4077,5,1186265
1,2,646.8142,6,1191093
1,5.66,733.8955,6,1195968
1,21.17,567.4381,6,1200734
1,16,744.2268,6,1204718
1,8,619.4924,6,1209187
1,2.83,609.6676,6,1213625
1,16,941.6972,6,1217656
1,11.31,640.5281,6,1222718
1,1.41,836.4142,6,1226968
1,8,578.2059,6,1231828
1,16,511.5392,6,1236515
0,2,535.8999,6,1240453
1,5.66,513.4272,6,1244359
1,11.31,809.8457,6,1248296
1,2,936.5766,6,1253437
420.69,8,10,7,1329843
420.69,8,10,8,1342578
420.69,8,10,9,1354812
1,28,686.2753,7,1427875
1,21.17,600.8132,7,1432625
1,4,573.6981,7,1437359
1,2.83,554.7668,7,1442046
1,11.31,655.8611,7,1446031
1,5.66,686.6382,7,1451015
1,5.66,527.1241,8,1455234
1,11.31,524.7478,8,1459781
1,2,542.4058,8,1463828
1,4,569.1043,8,1468453
1,1.41,814.4146,8,1472703
1,21.17,639.2904,8,1477843
1,11.31,703.9362,8,1482718
0,16,-109,8,1486937
1,4,592.9377,8,1492406
1,2.83,657.5539,8,1497328
1,2.83,515.9992,8,1502421
1,1.41,699.3275,8,1507156
1,4,582.2244,8,1511390
1,11.31,529.4027,8,1515921
1,28,540.5815,8,1520781
1,5.66,651.9017,8,1525500
1,1,914.6355,8,1530500
1,21.17,669.3068,8,1535875
1,2,647.9544,8,1540421
1,4,452.701,8,1545437
1,16,695.0053,8,1549781
1,8,645.8819,9,1554890
1,2,546.4233,9,1559296
0,8,-109,9,1563328
1,8,520.0495,9,1568890
1,8,601.136,9,1572937
1,21.17,715.1801,9,1577265
1,8,582.5297,9,1581703
1,8,568.4773,9,1586015
1,28,562.8976,9,1590906
1,1,726.7934,9,1595484
1,11.31,486.7121,9,1599953
1,8,600.7612,9,1604171
1,28,819.6799,9,1608828
1,5.66,505.4237,9,1613656
1,1,537.0011,9,1618500
