Height (deg),Reaction Time (ms),CPU Uptime,UTC time
0,10000,505634593,1668463371
0,538.2273,505730218,1668463466
0,638.2793,505762234,1668463498
0,635.6773,505784500,1668463520
0,518.6802,505812375,1668463548
0,810.3015001,505913578,1668463650
