Correct Response,Height (deg),Reaction Time (ms),Target,CPU Uptime,UTC time
1,4,748.8215,1,505853171,1668463589
0,4,705.4813,1,505895171,1668463631
1,4,641.2031999,4,506088562,1668463825
1,4,473.3574,5,506125828,1668463862
1,4,483.0131,5,506144359,1668463880
1,4,632.5958,5,506190953,1668463927
1,8,538.2273,1,505730218,1668463466
1,8,638.2793,1,505762234,1668463498
1,8,635.6773,1,505784500,1668463520
1,8,518.6802,1,505812375,1668463548
1,8,810.3015001,1,505913578,1668463650
0,8,603.4846,4,506135468,1668463871
1,8,450.2263,5,506177468,1668463913
1,8,630.5773,6,506199828,1668463936
1,16,572.7324,1,505808156,1668463544
1,16,570.7876,2,505826062,1668463562
1,16,628.566,2,505909296,1668463645
1,16,780.2142,4,506107578,1668463844
1,16,645.4587,4,506158453,1668463894
1,16,547.9617,5,506181781,1668463918
1,16,592.7701,6,506097781,1668463834
